,Q16288,Q9UM73,P06213,P52564,Q8IU85,P04629,P42345,P51617,Q15418,P78368,P48729,P51812,Q16539,P54646,Q02763,Q9HCP0,O75582,P48736,Q96GD4,P16591,P48730,P22607,Q9Y4K4,P67870,Q9HAZ1,O43293,O00444,O15530,P51957,P16234,Q9UQM7,P36507,Q9BXA7,P35968,O60674,Q9H4B4,Q86V86,Q05397,P00533,O14757,P07333,Q9Y243,P12931,O14965,Q7KZI7,P15056,Q13237,P29317,O95819,P11362,Q15759,P53778,O00311,P35916,Q05655,Q14680,P30291,Q9HBY8,P10721,Q8TDC3,O00418,P24941,Q00535,P41240,P06493,P22694,P78527,Q16644,P04049,Q96PF2,Q13131,O15111,P54619,P09619,P11309,Q9UBF8,P15735,P29376,P49841,P07948,Q06418,P30530,Q9H3Y6,P51813,O00141,Q13188,Q13976,Q12866,Q07912,Q9NWZ3,P50613,Q9P289,Q02156,P17252,P08631,P49759,Q13557,Q02750,P43405,Q05513,Q15078,Q9BWU1,P04626,P07332,P28482,P21802,Q9NR20,Q9HBH9,Q16620,P80192,P53350,P05129,P53667,P27448,P50750,P36888,Q13627,P27361,O94806,Q9UGJ0,P31749,Q00534,Q14164,Q5S007,Q9BUB5,Q14289,P52333,Q99683,O15264,P05771,Q04912,P17612,P22612,P07949,Q9Y463,P54760,Q13555,Q8NE63,Q13882,O14920,Q9UHD2,Q12851,O43781,P17948,P06241,Q9UGI9,P51451,P06239,O15075,Q96SB4,Q13554,P34947,Q08881,P49137,Q5VT25,P19784,P43403,Q14012,P29323,Q15118,P49336,P49760,P24723,Q16566,P42684,P42336,Q96RG2,Q9NYL2,Q9H2G2,O96017,Q9Y6M4,P68400,Q15139,O00329,Q04759,P08069,Q9H2X6,P31751,P42679,P11802,Q8N4C8,P08581,P00519,Q06187,Q96KB5,Q04771,P49840,P41279,P41743
Q16288,1.0,0.121676309,0.144323758,0.086768393,0.072669111,0.472139446,0.031016084,0.075602177,0.078406176,0.06212229,0.066072976,0.074883813,0.083672466,0.077075745,0.135803263,0.061149934,0.079753855,0.040049349,0.106437737,0.14799759,0.063842109,0.164506761,0.051952644,0.037744264,0.066417058,0.068374784,0.056018677,0.069244622,0.059776148,0.132004604,0.060752173,0.076159247,0.08207824,0.124489281,0.120147934,0.07105816,0.080431365,0.122605559,0.110928308,0.080685558,0.153861278,0.079458378,0.154764101,0.099893546,0.066672415,0.101222804,0.074501108,0.146255075,0.044878037,0.165800853,0.079705095,0.083281367,0.055937652,0.118862576,0.090490673,0.071084783,0.065097084,0.076842434,0.142602164,0.060556176,0.052322648,0.097967955,0.091295818,0.154979365,0.092484103,0.079094276,0.027727682,0.066013031,0.11046683,0.084416622,0.074102833,0.068673146,0.042057713,0.128641774,0.069725527,0.050188985,0.068884828,0.14301134,0.069712866,0.161673663,0.144987426,0.149508571,0.177846043,0.167596379,0.086862875,0.069132772,0.074576931,0.130713903,0.105223592,0.102446738,0.081214895,0.092198884,0.080899775,0.081114214,0.158167209,0.064193944,0.059465103,0.090256472,0.140511267,0.07066543,0.037992358,0.056332274,0.109833811,0.152980174,0.082265609,0.16843337,0.056798477,0.071708709,0.533977734,0.07328218,0.076783574,0.0801113,0.108579338,0.069537866,0.082227237,0.13042724,0.051877201,0.080596824,0.073166887,0.045281164,0.078489857,0.097830241,0.056157417,0.052698038,0.055642654,0.128827956,0.109914197,0.063365917,0.082233346,0.078941885,0.118638602,0.076492666,0.074157257,0.139380069,0.060343068,0.141244743,0.059016593,0.048405429,0.164092669,0.055041593,0.049992967,0.051517438,0.070281347,0.130198153,0.159175637,0.048524993,0.152509393,0.158224365,0.070604823,0.050401236,0.051443131,0.064490485,0.163790372,0.076649956,0.038153734,0.065691531,0.145322203,0.077321331,0.137222899,0.047520481,0.059021847,0.055634165,0.071622061,0.06406178,0.119534151,0.051606371,0.072063568,0.08084477,0.048987228,0.078939963,0.061156839,0.067264868,0.071010219,0.04831402,0.102542535,0.141301643,0.045198915,0.079994825,0.161060404,0.088265502,0.039834652,0.122835035,0.119882741,0.161366083,0.076842333,0.094914202,0.070353691,0.070898251,0.064786498
Q9UM73,0.121676309,1.0,0.130850675,0.05677038,0.0548987,0.134449289,0.039204705,0.058161001,0.06003403,0.037749577,0.043559259,0.055143836,0.051172381,0.055930592,0.101248367,0.042847436,0.054877524,0.041155115,0.064001624,0.112985115,0.052834929,0.12134299,0.053031984,0.032990112,0.048651221,0.044621781,0.042676922,0.043070586,0.054545945,0.105500847,0.048778286,0.059794102,0.062996976,0.091696417,0.082587789,0.055210293,0.051220909,0.097369323,0.097762079,0.062470243,0.113804061,0.054618172,0.116171715,0.064760691,0.058948534,0.079788415,0.050597661,0.11891386,0.040849225,0.118367847,0.051452051,0.048584278,0.031313363,0.099518604,0.056365299,0.04629466,0.051950214,0.054891114,0.099327227,0.050388569,0.032396182,0.057583051,0.051871317,0.114577665,0.054533726,0.050814679,0.032695576,0.056064077,0.07057814,0.058462556,0.052407482,0.055353205,0.02890368,0.104745889,0.050945834,0.040476472,0.047920732,0.394168014,0.06005362,0.112556899,0.119529146,0.125883138,0.11368879,0.106589896,0.051870656,0.065113962,0.045300847,0.115639326,0.078826679,0.068775431,0.049953689,0.072675351,0.051803094,0.055916332,0.110649484,0.044779278,0.056111098,0.059509847,0.097092497,0.049750825,0.030366147,0.054547771,0.103197186,0.116974421,0.052048932,0.119872171,0.046069087,0.057001873,0.127924858,0.064194736,0.057855209,0.060236605,0.069752737,0.057573753,0.056649396,0.101010881,0.040130087,0.053066743,0.055042831,0.033222296,0.05524931,0.061176014,0.0461088,0.049751463,0.04258177,0.098340786,0.081784108,0.052867284,0.046834749,0.054630003,0.111672053,0.047498646,0.052166848,0.117075795,0.055092826,0.103927785,0.053171827,0.051519937,0.11538559,0.054008376,0.046878654,0.058156468,0.052824859,0.09681328,0.12556335,0.041230093,0.113564034,0.117776118,0.054669206,0.034118298,0.052762597,0.050014423,0.108727049,0.053388045,0.044036252,0.038047182,0.103266357,0.051631808,0.09945207,0.033527316,0.057560256,0.042368464,0.064326272,0.060442669,0.093733392,0.038749313,0.062826758,0.062947519,0.04563468,0.061616579,0.038346159,0.041236695,0.05606381,0.042770655,0.059618895,0.126067954,0.048185844,0.050023024,0.122909202,0.067105321,0.041551569,0.097709759,0.099487777,0.116340468,0.070257839,0.068574379,0.078275183,0.052072754,0.055327592
P06213,0.144323758,0.130850675,1.0,0.076111699,0.052589058,0.147739744,0.03721958,0.055598766,0.056680197,0.043736003,0.051127534,0.059360063,0.058004833,0.054081235,0.124870665,0.042823808,0.060988836,0.042665454,0.066955877,0.125543421,0.054765731,0.137213383,0.049989777,0.030250836,0.057257438,0.060532981,0.044873122,0.049797769,0.045829422,0.107794435,0.054791383,0.056996963,0.061514169,0.110395332,0.095529877,0.052891001,0.063588255,0.109433677,0.150961449,0.062518634,0.120445199,0.060127413,0.134763303,0.069043719,0.053876207,0.093888813,0.057028941,0.133107389,0.047288206,0.137895684,0.060791857,0.061293466,0.045219863,0.117933478,0.067906353,0.046561292,0.053305019,0.057740768,0.118660093,0.049725635,0.042767974,0.077623509,0.069681027,0.134401812,0.074297458,0.068456237,0.032475005,0.061996538,0.088089885,0.063292758,0.05566129,0.051988507,0.036028319,0.108269895,0.062309331,0.04626959,0.059291871,0.137116116,0.054753643,0.138361629,0.136347253,0.141135622,0.135287617,0.123859963,0.058441972,0.067017012,0.058796269,0.133802622,0.081167694,0.074953401,0.060662359,0.081558132,0.060779347,0.061085548,0.136983975,0.049706988,0.051499994,0.060931388,0.110513773,0.058840443,0.033042989,0.053997229,0.148611241,0.125739507,0.068292343,0.138868016,0.043789194,0.049269046,0.144594526,0.064167635,0.054734868,0.062910158,0.079969604,0.055423616,0.060506781,0.108662697,0.044942053,0.070255237,0.065025601,0.044172578,0.060003022,0.082292474,0.045734425,0.059835258,0.043789376,0.108321904,0.09488886,0.059325454,0.058905991,0.061944511,0.108754364,0.063565489,0.065646994,0.122075478,0.045255407,0.125097694,0.048370976,0.046149119,0.131459929,0.051354646,0.043806117,0.049767001,0.05477576,0.114351497,0.127339519,0.043273963,0.13120277,0.138115597,0.058179319,0.040404024,0.041195835,0.067330587,0.119480226,0.062310378,0.049477775,0.062204037,0.103967713,0.056604348,0.12800771,0.041673425,0.056177173,0.048045245,0.060579748,0.055865194,0.10227954,0.050951805,0.06298518,0.071119837,0.046949047,0.063566752,0.039541042,0.057139158,0.070199828,0.043943148,0.063483974,0.577189344,0.04046904,0.069088936,0.131711126,0.079888664,0.048988937,0.111847206,0.103686321,0.122324082,0.071212477,0.063950391,0.054310486,0.061418512,0.055689589
P52564,0.086768393,0.05677038,0.076111699,1.0,0.135651835,0.080066757,0.030447802,0.086263043,0.12693427,0.101128925,0.110764839,0.124449191,0.15055327,0.106509792,0.079313627,0.104505276,0.104322539,0.043151001,0.149765475,0.084037768,0.101689836,0.083680539,0.120490978,0.060323851,0.113918372,0.124864032,0.083991015,0.111857515,0.109940376,0.076573177,0.128117026,0.324953741,0.110482814,0.074166124,0.083806718,0.098216493,0.132045895,0.094823304,0.08164251,0.120228953,0.077688433,0.123479421,0.111719853,0.162613115,0.11086558,0.097060166,0.10383699,0.078440623,0.122528771,0.087167838,0.146025557,0.157271235,0.083253715,0.064158556,0.102300446,0.089312303,0.080428182,0.132093392,0.089299835,0.100991044,0.039220073,0.180800944,0.17407983,0.119496981,0.177167345,0.146683696,0.023347773,0.120646614,0.10877874,0.133143122,0.107743273,0.076591293,0.052771993,0.07888182,0.119335071,0.049384459,0.133393437,0.069082574,0.139748301,0.125904849,0.076453138,0.089925154,0.103195049,0.106151466,0.137876092,0.21881978,0.108944241,0.070079987,0.087001307,0.126382625,0.145555616,0.193843249,0.10283287,0.10331213,0.127140107,0.117286106,0.12807849,0.334034768,0.105861603,0.121728916,0.049264284,0.107766522,0.081235706,0.093513474,0.159774005,0.0854441,0.114520606,0.128832527,0.077291724,0.085729701,0.112413122,0.105214827,0.10386784,0.10786627,0.114818683,0.082362234,0.080930604,0.167621641,0.105077822,0.047364853,0.134001324,0.173878744,0.095568996,0.055525682,0.119675782,0.084194816,0.08448276,0.08557288,0.153090967,0.099433665,0.064241706,0.1498986,0.154595638,0.085081455,0.095910717,0.085373738,0.11428389,0.097792135,0.098054484,0.084639799,0.080259953,0.132983262,0.109655426,0.081449358,0.114451697,0.049338712,0.121878698,0.115104399,0.103917522,0.071320687,0.100713329,0.10887835,0.104302573,0.145761253,0.068476645,0.133513751,0.108615375,0.140416868,0.086439308,0.054129036,0.111762473,0.097452588,0.09417577,0.118082875,0.074761256,0.037524059,0.067580615,0.104581229,0.114988981,0.107112553,0.091854527,0.128929464,0.102938696,0.042056092,0.102814831,0.064563922,0.071375844,0.133257905,0.111409163,0.160613011,0.115446432,0.059083993,0.083339418,0.117164117,0.152606568,0.105230191,0.125951395,0.121586696,0.125603024
Q8IU85,0.072669111,0.0548987,0.052589058,0.135651835,1.0,0.073416166,0.031860308,0.073443672,0.19408236,0.095486061,0.097242474,0.19616129,0.168244636,0.212127942,0.07470731,0.099217041,0.187197418,0.041161246,0.212830926,0.09091278,0.105088837,0.083020585,0.115689786,0.056734054,0.130109884,0.272290934,0.14419915,0.187835764,0.123514298,0.066240947,0.291673601,0.113834299,0.19840645,0.064403144,0.074724967,0.152948335,0.184169974,0.066411002,0.062101562,0.191666155,0.063625649,0.217069513,0.101259802,0.205639796,0.176964998,0.094618822,0.154181769,0.078666433,0.086729453,0.08504653,0.148055636,0.167056174,0.109748836,0.057753059,0.16225821,0.214660126,0.090589224,0.229675397,0.071935055,0.18395783,0.051301407,0.181884297,0.172196554,0.125959039,0.196531272,0.261084482,0.024793661,0.260158267,0.102305455,0.201166347,0.215654445,0.127184045,0.058300873,0.069775876,0.148516812,0.046581458,0.263247483,0.069328624,0.137645892,0.090122178,0.076645807,0.065709301,0.102198249,0.083908191,0.223775544,0.155003142,0.153467946,0.068468029,0.085199353,0.106921304,0.155297934,0.169149676,0.157648458,0.162037229,0.088721691,0.139126933,0.276553506,0.122474487,0.077285503,0.145481595,0.044346944,0.146682412,0.061248336,0.089564812,0.15228576,0.084771844,0.140456243,0.217957257,0.07866144,0.082008258,0.165733067,0.150205072,0.097539233,0.189841212,0.141319899,0.078432258,0.102131854,0.14895439,0.157197955,0.045851614,0.214997644,0.166951704,0.10951618,0.056547453,0.222610817,0.075315934,0.069452341,0.093789177,0.183009197,0.154936842,0.057180237,0.257295716,0.250597636,0.074760015,0.11078647,0.101948102,0.266024489,0.112701041,0.116478256,0.132017636,0.104814626,0.120674178,0.125453835,0.068667077,0.101376883,0.046402627,0.08962585,0.084179379,0.24984294,0.081063282,0.244878637,0.159095592,0.086618008,0.259874593,0.091949228,0.137430037,0.084897469,0.719970229,0.086840965,0.054227965,0.15467932,0.132803772,0.166560786,0.339616142,0.086994687,0.03971699,0.09881106,0.089145162,0.114309901,0.252843459,0.103341423,0.150412786,0.156829356,0.04144816,0.147596781,0.054443787,0.096168911,0.211501747,0.10885504,0.159398294,0.083367398,0.057526776,0.089527882,0.085290563,0.082505472,0.097282077,0.130336748,0.128244364,0.156729607
P04629,0.472139446,0.134449289,0.147739744,0.080066757,0.073416166,1.0,0.037215668,0.08339523,0.080471562,0.057441328,0.057607908,0.079175082,0.081767959,0.074232669,0.131273658,0.054976116,0.071815632,0.041839979,0.10826784,0.141797272,0.05967061,0.178810772,0.047627642,0.040253585,0.067735639,0.064208982,0.052028509,0.068227791,0.0640997,0.133318662,0.062753973,0.073617858,0.093790091,0.121490819,0.120307735,0.06496481,0.075854919,0.130756644,0.110538597,0.085207182,0.158390595,0.072561267,0.156624909,0.09979954,0.059227419,0.107066109,0.075041975,0.161057898,0.044516093,0.180733941,0.080470595,0.083457154,0.049637915,0.118755363,0.08182622,0.067861846,0.070729423,0.075799423,0.148270042,0.059482491,0.048838933,0.100579637,0.092073885,0.167594669,0.091295033,0.086392494,0.024696868,0.065428123,0.106898359,0.092618751,0.07320726,0.064379831,0.035167898,0.132187267,0.067391975,0.046101462,0.073578276,0.169745519,0.074659394,0.166538381,0.15593764,0.161858513,0.187317767,0.163394706,0.081749438,0.074305474,0.078373456,0.141026793,0.101464933,0.107475767,0.075672876,0.096067655,0.06812881,0.082262206,0.161232988,0.064874091,0.06305226,0.080907967,0.146200101,0.068844286,0.041792426,0.058899409,0.113167289,0.15846745,0.077612221,0.170211687,0.059829305,0.075427993,0.466421802,0.08246273,0.066552907,0.091954511,0.10519447,0.059531742,0.090525776,0.145901985,0.049139675,0.083425358,0.073352802,0.050406372,0.07595114,0.105656674,0.05973989,0.0537066,0.065274894,0.129928811,0.118693722,0.070791075,0.07935566,0.081815571,0.121480199,0.085250153,0.080892383,0.138688969,0.057028816,0.144543613,0.05972571,0.059941202,0.16300558,0.057184885,0.050467366,0.047566109,0.072152848,0.119962654,0.159255504,0.062771504,0.156223443,0.161968774,0.075875158,0.044417122,0.05273487,0.064723669,0.160318418,0.07223171,0.035636577,0.05595555,0.167424192,0.07885778,0.140988999,0.050717371,0.063845324,0.06003278,0.069286899,0.054603699,0.123523847,0.044915477,0.065728471,0.080483281,0.052423816,0.072457488,0.0590191,0.054927148,0.075549956,0.050089995,0.086923987,0.144011238,0.052703819,0.074052362,0.160953959,0.098829435,0.03984066,0.122209737,0.123517218,0.152358674,0.070602913,0.093977938,0.06618933,0.081627275,0.069255061
P42345,0.031016084,0.039204705,0.03721958,0.030447802,0.031860308,0.037215668,1.0,0.030565399,0.03611669,0.027437618,0.027386549,0.033251207,0.030306017,0.030969497,0.038263771,0.03363631,0.03552783,0.053327004,0.028570641,0.035863518,0.030496518,0.032332087,0.035699043,0.02640186,0.02918459,0.030958138,0.035178229,0.031911047,0.034870589,0.036120006,0.028842056,0.030085593,0.025176648,0.039205612,0.039299247,0.03428376,0.025742179,0.038177522,0.036316971,0.028987282,0.03590816,0.027704095,0.034178695,0.027511468,0.033700751,0.033116433,0.031885933,0.03450948,0.036315857,0.032546005,0.029191412,0.032280537,0.031801794,0.040688053,0.027991507,0.030637266,0.029735516,0.03056392,0.033400598,0.028566568,0.03237254,0.029827874,0.030465918,0.027379736,0.02679806,0.027486112,0.070911884,0.027665421,0.031189988,0.027889072,0.029469013,0.041100165,0.027338381,0.038408677,0.029460218,0.043246524,0.031651729,0.029354145,0.026593234,0.02982386,0.032880102,0.03409582,0.029458632,0.032067184,0.029172423,0.032621737,0.032778045,0.0384186,0.03494776,0.028000718,0.030004709,0.029736168,0.031148384,0.031967624,0.030134741,0.031662204,0.028574939,0.033473221,0.030607705,0.026578605,0.02578143,0.028443603,0.036491261,0.039970865,0.031650121,0.031041738,0.029720871,0.028703699,0.033259416,0.035914845,0.030452773,0.033124448,0.033001838,0.029206427,0.029811908,0.033495321,0.033145755,0.032027895,0.034721538,0.030494945,0.028067847,0.028370458,0.037254069,0.052009613,0.031610369,0.039713569,0.04596152,0.04589956,0.02754225,0.030370005,0.041508379,0.026399683,0.028486076,0.032951889,0.029280471,0.0323859,0.031710367,0.032557034,0.028849638,0.039477063,0.038720059,0.033859764,0.029563083,0.037991308,0.029148246,0.030576766,0.030138426,0.033353244,0.034217142,0.032587861,0.033495473,0.028379059,0.032153185,0.032460339,0.041915682,0.029278345,0.033558358,0.028550406,0.037892855,0.030545846,0.028360772,0.028554957,0.030569029,0.031257838,0.037559795,0.050294275,0.041490298,0.031190423,0.039893663,0.028108415,0.030076652,0.029809357,0.034514105,0.053427908,0.030502354,0.034963877,0.038247868,0.03537225,0.034365654,0.028034538,0.036102327,0.039012798,0.033173561,0.030982157,0.026603202,0.033074812,0.029068921,0.036940519,0.027352507
P51617,0.075602177,0.058161001,0.055598766,0.086263043,0.073443672,0.08339523,0.030565399,1.0,0.078595492,0.062980089,0.053937803,0.070817347,0.070634406,0.068453656,0.065238646,0.058888822,0.072346323,0.040807392,0.093920044,0.065902364,0.062641044,0.081924964,0.063258103,0.040515233,0.052631713,0.068768769,0.059160764,0.08268724,0.07388462,0.062737808,0.06567659,0.081659809,0.074970059,0.058163886,0.069188105,0.099016918,0.073330209,0.078436489,0.050868535,0.09015524,0.068331524,0.070279034,0.103312021,0.102835783,0.076386758,0.100467634,0.052692154,0.068982074,0.052148146,0.080707442,0.086185762,0.070833597,0.071867899,0.058580492,0.068178405,0.068247092,0.083397155,0.088333968,0.067128136,0.076652331,0.048663026,0.086716808,0.082084232,0.096199657,0.103559627,0.073114283,0.024320381,0.064810478,0.111219159,0.069963112,0.066516849,0.06560135,0.047575068,0.066461316,0.076870305,0.048320994,0.082235611,0.080897147,0.083072296,0.087982,0.076773071,0.089551245,0.107877781,0.074261621,0.07468222,0.078010094,0.050926576,0.072625269,0.082827034,0.197527077,0.095086528,0.093570483,0.072285487,0.07721409,0.091639385,0.05611648,0.069325013,0.087300078,0.07783521,0.076763211,0.049064181,0.076238414,0.069858167,0.079418706,0.081715091,0.078076798,0.054375001,0.077669743,0.082215965,0.088367536,0.090829509,0.091150107,0.091564937,0.070229357,0.085482971,0.063144485,0.062841101,0.082903534,0.058220107,0.065081615,0.085516158,0.087867782,0.058426054,0.042670518,0.066154203,0.066950116,0.061971854,0.059687778,0.065133722,0.079120167,0.056917889,0.069288523,0.083116918,0.075606263,0.076107749,0.08090029,0.077453602,0.068840989,0.09238556,0.073893052,0.047341527,0.070514387,0.07025938,0.058442637,0.082538098,0.06657448,0.098209562,0.096135546,0.080272135,0.047470446,0.078368866,0.078639246,0.078273816,0.079055306,0.038054079,0.060002717,0.090366845,0.076472621,0.072283623,0.047765947,0.072628535,0.057575351,0.06582512,0.084292522,0.078389293,0.037431323,0.057898931,0.073278817,0.046065259,0.080135878,0.060677527,0.069670752,0.056433345,0.049272026,0.081062444,0.06437902,0.067304802,0.074983376,0.113416284,0.083317828,0.054851754,0.064637193,0.08211366,0.073698626,0.095868764,0.070269744,0.078959397,0.086886024,0.079513551
Q15418,0.078406176,0.06003403,0.056680197,0.12693427,0.19408236,0.080471562,0.03611669,0.078595492,1.0,0.094575741,0.089015312,0.812163793,0.127511507,0.132639706,0.072058083,0.093178714,0.391747758,0.044526139,0.17650969,0.09006183,0.095694885,0.0902254,0.100993204,0.044168243,0.112361348,0.161689335,0.113208298,0.175336418,0.115505547,0.072439137,0.163260754,0.134074793,0.135392951,0.064239004,0.093881046,0.144805728,0.113293807,0.08283487,0.073471608,0.142974065,0.074464711,0.258362311,0.086641432,0.155993152,0.130582357,0.08578983,0.154014653,0.074839305,0.076822232,0.08402858,0.13243015,0.128328523,0.104513689,0.059304794,0.184518923,0.127492308,0.091925333,0.268453044,0.082451499,0.132020862,0.056553447,0.129474544,0.125887938,0.095131929,0.131909407,0.232122146,0.02833625,0.205240012,0.083307792,0.138715254,0.143939848,0.102811245,0.037146928,0.076015794,0.114596059,0.059701008,0.184156814,0.067730617,0.126663343,0.093421883,0.073164855,0.079445587,0.097515267,0.078997787,0.269145647,0.119545474,0.169097196,0.06622515,0.07462167,0.085240181,0.117005149,0.133338141,0.172189243,0.199130496,0.090176164,0.116012365,0.165886726,0.135928939,0.088352865,0.197266849,0.054903414,0.089850995,0.073940354,0.098325413,0.139046932,0.087258149,0.099031477,0.194938233,0.086566692,0.098403542,0.150622671,0.190898463,0.092277664,0.13044416,0.101775183,0.078884673,0.080189674,0.136005172,0.119250417,0.050317493,0.250202334,0.12723897,0.107950807,0.053017121,0.17972572,0.075859347,0.091217465,0.080110442,0.131967794,0.196170494,0.062126015,0.23816164,0.228244179,0.075583115,0.085201557,0.075117393,0.161040173,0.102514142,0.096962346,0.102011544,0.111254615,0.098288738,0.097408537,0.062370311,0.09397951,0.045787217,0.088788411,0.091518132,0.16778102,0.083155701,0.140106569,0.158807147,0.089114837,0.213848863,0.116663447,0.126275115,0.092857724,0.196970813,0.074376876,0.05542328,0.091766294,0.102921013,0.186915214,0.179965956,0.079007631,0.04744304,0.084067356,0.097157004,0.093468575,0.176554909,0.085232938,0.123236551,0.119656658,0.044840801,0.182919308,0.059119044,0.079539531,0.25396289,0.089389972,0.115097703,0.075763762,0.055745448,0.078709373,0.086400955,0.08412913,0.078228235,0.114644013,0.098227788,0.19777804
P78368,0.06212229,0.037749577,0.043736003,0.101128925,0.095486061,0.057441328,0.027437618,0.062980089,0.094575741,1.0,0.446797009,0.096023693,0.097135913,0.095484037,0.049272276,0.807310373,0.089401445,0.034435136,0.110293824,0.063370179,0.438361167,0.07389958,0.077401479,0.054365839,0.077148627,0.086105792,0.07844399,0.113740692,0.062257522,0.054382951,0.077939114,0.076799069,0.084803325,0.056330002,0.051187044,0.093319573,0.092655895,0.06279033,0.059332816,0.09366999,0.055984104,0.092628215,0.07897309,0.117236935,0.085884164,0.07093767,0.081089503,0.042451914,0.05131544,0.073604014,0.103075479,0.103266634,0.074337119,0.050885831,0.086675027,0.089096147,0.05924151,0.110215414,0.052317859,0.081029053,0.044228619,0.124011407,0.117677677,0.063481436,0.112042704,0.121478418,0.022187132,0.095707839,0.069946057,0.086821575,0.093964648,0.071165699,0.040163503,0.051262578,0.083896387,0.044812288,0.080931398,0.05391729,0.098629851,0.076079279,0.063014906,0.06631656,0.077819989,0.059953326,0.095629319,0.085158886,0.084889022,0.068306013,0.075052009,0.071157852,0.110074537,0.098444833,0.063427062,0.076876598,0.066067053,0.083531507,0.08942675,0.086204643,0.074074911,0.073487666,0.045892642,0.080899823,0.057107618,0.066090017,0.090323721,0.067128915,0.087308752,0.099196272,0.055183928,0.063291265,0.082581778,0.078659155,0.066968697,0.092160295,0.104740773,0.046950286,0.079422998,0.100675422,0.054464531,0.042117607,0.094201144,0.098428647,0.067792705,0.033232736,0.08078299,0.056121987,0.051479453,0.059744748,0.093685666,0.07903829,0.047460456,0.115610672,0.108773063,0.059768107,0.091724722,0.043939106,0.079945569,0.078683539,0.088034908,0.069830379,0.068105913,0.065736925,0.08175164,0.055219907,0.078861869,0.037935124,0.069785491,0.087071449,0.076170003,0.071666912,0.066431174,0.086570512,0.06395386,0.092117385,0.04689981,0.110794894,0.060346066,0.096278355,0.046742677,0.055980109,0.086750666,0.076688543,0.078534429,0.082815491,0.062456329,0.035239088,0.047657166,0.059306952,0.050224399,0.078900355,0.797857978,0.095477649,0.064062352,0.036277299,0.081236558,0.044177511,0.06505265,0.092548493,0.071289606,0.092583723,0.051328434,0.048736975,0.071824902,0.068939248,0.070897298,0.062966108,0.106051255,0.100201793,0.072553409
